hours,pace,support,lecture,oh,enjoyment,social,hackathon,etc,best,worst
6.0,3,3,5,1,2,0,1,2,6,8
20.0,3,3,4,1,4,0,0,4,7,5
5.0,3,3,3,2,4,0,1,3,8,31
5.0,3,4,5,1,4,0,1,23,28,3
9.0,3,5,2,1,3,0,1,23,8,13
10.0,4,4,4,1,4,0,0,3,44,15
5.0,3,3,5,2,3,0,1,3,4,7
10.0,3,4,2,1,5,0,1,3,7,3
50.0,3,4,4,2,4,1,0,25,7,7
2.0,3,4,2,1,3,0,1,14,4,6
2.0,1,1,5,1,3,0,0,3,3,3
6.0,3,4,4,1,4,0,1,3,13,23
60.0,3,4,5,2,4,1,0,3,17,7
5.0,3,3,5,2,4,1,1,30,32,26
6.0,3,4,4,2,4,0,1,21,11,13
10.0,2,4,5,2,5,1,1,26,12,26
10.0,4,3,4,1,3,0,0,25,7,107
0.1,5,5,5,2,5,0,1,34,8,18
10.0,2,4,5,2,4,1,1,3,12,46
10.0,3,4,5,1,4,0,1,16,8,21
40.0,3,3,4,1,4,1,1,5,18,9
15.0,1,4,5,1,4,0,1,24,7,14
8.0,3,5,5,1,4,0,0,4,6,16
10.0,2,3,5,1,4,0,1,5,9,36
3.0,3,4,4,1,4,0,1,30,77,42
100.0,2,5,5,1,4,0,0,3,51,95
5.0,4,5,4,1,4,0,1,32,14,18
30.0,2,3,4,2,3,1,0,3,9,86
15.0,3,3,4,1,4,1,1,12,20,8
10.0,2,5,5,3,4,0,1,3,16,18
2.0,3,4,5,1,4,0,1,64,30,127
12.0,4,3,5,1,4,0,0,77,29,37
10.0,2,5,4,3,5,1,1,81,47,27
3.0,3,2,4,1,3,0,0,141,15,13
15.0,1,4,5,1,4,1,1,75,35,36
8.0,3,3,3,2,4,0,1,22,22,14
10.0,3,3,5,1,1,0,1,37,28,16
8.0,3,5,4,1,5,0,0,21,30,25
25.0,3,5,2,1,3,0,1,23,7,32
8.0,3,4,4,2,3,0,0,34,8,36
10.0,2,4,5,1,4,0,1,137,11,30
7.0,3,5,4,1,5,0,1,125,61,79
14.0,3,5,5,1,4,0,0,42,5,3
7.0,2,3,4,1,5,0,1,8,5,11
5.0,3,5,5,1,5,0,0,32,70,55
8.0,3,4,3,1,3,0,1,3,5,3
6.0,2,3,5,1,3,0,1,55,35,4
4.0,2,3,4,1,1,0,1,28,38,38
10.0,2,3,5,1,3,0,0,4,29,4
5.0,3,3,5,1,5,0,1,3,12,7
8.0,2,5,5,1,4,0,1,14,5,7
10.0,3,3,4,1,3,0,1,138,5,2
6.0,3,3,5,1,3,0,1,115,5,3
3.0,2,4,3,1,3,0,0,10,30,34
10.0,2,3,4,1,4,0,0,45,21,24
10.0,2,4,3,1,4,0,0,50,60,84
3.0,3,4,4,1,3,0,1,31,8,14
4.0,1,4,5,2,4,0,1,80,10,147
45.0,3,4,5,3,4,0,1,14,14,2
7.0,3,5,4,2,3,0,1,253,72,281
100.0,2,5,4,1,4,1,1,27,16,35
50.0,2,4,4,1,4,0,0,40,5,21
22.0,4,5,5,5,3,1,1,218,20,152
30.0,3,3,5,1,3,0,1,3,5,20
12.0,1,3,4,1,5,0,1,57,8,11
